Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points,Week,Name,_position,_team
Jason Myers K - SEA,SF,2.16,0.0,0.4,0.51,0.45,0.17,7.09,6,Jason Myers,K,SEA
Jake Bates K - DET,@DAL,2.64,0.0,0.31,0.43,0.43,0.18,7.05,6,Jake Bates,K,DET
Wil Lutz K - DEN,LAC,2.03,0.0,0.4,0.45,0.4,0.23,6.93,6,Wil Lutz,K,DEN
Cam Little K - JAX,@CHI,2.31,0.0,0.35,0.52,0.35,0.17,6.82,6,Cam Little,K,JAX
Eddy Pineiro K - CAR Q View News,ATL,1.91,0.0,0.34,0.45,0.34,0.22,6.40,6,Eddy Pineiro,K,CAR
Justin Tucker K - BAL,@TB,2.96,0.0,0.49,0.56,0.56,0.31,9.34,7,Justin Tucker,K,BAL
Harrison Butker K - KC,@SF,3.04,0.0,0.48,0.6,0.42,0.3,9.04,7,Harrison Butker,K,KC
Younghoe Koo K - ATL,SEA,2.42,0.0,0.5,0.56,0.43,0.37,8.74,7,Younghoe Koo,K,ATL
Evan McPherson K - CIN,@CLE,2.87,0.0,0.42,0.48,0.54,0.3,8.69,7,Evan McPherson,K,CIN
Jake Moody K - SF,KC,2.96,0.0,0.43,0.56,0.43,0.25,8.47,7,Jake Moody,K,SF
Tyler Bass K - BUF,TEN,2.79,0.0,0.44,0.57,0.44,0.25,8.39,7,Tyler Bass,K,BUF
Jason Sanders K - MIA,@IND,2.81,0.0,0.43,0.49,0.43,0.24,8.06,7,Jason Sanders,K,MIA
Ka'imi Fairbairn K - HOU,@GB,2.78,0.0,0.41,0.53,0.41,0.24,8.03,7,Ka'imi Fairbairn,K,HOU
Cameron Dicker K - LAC,@ARI,2.32,0.0,0.41,0.52,0.46,0.29,7.94,7,Cameron Dicker,K,LAC
Greg Zuerlein K - NYJ,@PIT,2.32,0.0,0.41,0.52,0.46,0.29,7.94,7,Greg Zuerlein,K,NYJ
Dustin Hopkins K - CLE Q,CIN,2.41,0.0,0.41,0.53,0.47,0.24,7.84,7,Dustin Hopkins,K,CLE
Jake Elliott K - PHI,@NYG,2.46,0.0,0.42,0.48,0.48,0.24,7.80,7,Jake Elliott,K,PHI
Blake Grupe K - NO,DEN,2.25,0.0,0.41,0.53,0.41,0.3,7.80,7,Blake Grupe,K,NO
Matt Gay K - IND,MIA,2.1,0.0,0.42,0.54,0.42,0.3,7.74,7,Matt Gay,K,IND
Matt Prater K - ARI,LAC,2.07,0.0,0.41,0.53,0.41,0.3,7.62,7,Matt Prater,K,ARI
Daniel Carlson K - LV,@LAR,2.05,0.0,0.46,0.51,0.4,0.29,7.61,7,Daniel Carlson,K,LV
Jake Bates K - DET,@MIN,2.77,0.0,0.35,0.47,0.47,0.18,7.54,7,Jake Bates,K,DET
Joshua Karty K - LAR,LV,2.51,0.0,0.41,0.47,0.47,0.18,7.46,7,Joshua Karty,K,LAR
Chris Boswell K - PIT,NYJ,2,0.0,0.4,0.51,0.4,0.29,7.38,7,Chris Boswell,K,PIT
Chase McLaughlin K - TB,BAL,1.98,0.0,0.4,0.51,0.4,0.28,7.31,7,Chase McLaughlin,K,TB
Jason Myers K - SEA,@ATL,2.22,0.0,0.41,0.52,0.47,0.17,7.27,7,Jason Myers,K,SEA
Nick Folk K - TEN,@BUF,1.86,0.0,0.39,0.51,0.39,0.28,7.13,7,Nick Folk,K,TEN
Graham Gano K - NYG,PHI,1.85,0.0,0.39,0.5,0.39,0.28,7.09,7,Graham Gano,K,NYG
Cam Little K - JAX,NE,2.32,0.0,0.35,0.52,0.35,0.17,6.83,7,Cam Little,K,JAX
Will Reichard K - MIN,DET,2.24,0.0,0.34,0.5,0.39,0.17,6.78,7,Will Reichard,K,MIN
Harrison Butker K - KC,@LV,3.17,0.0,0.5,0.62,0.44,0.31,9.40,8,Harrison Butker,K,KC
Justin Tucker K - BAL,@CLE,2.85,0.0,0.47,0.53,0.53,0.3,8.94,8,Justin Tucker,K,BAL
Evan McPherson K - CIN,PHI,2.95,0.0,0.43,0.49,0.55,0.31,8.91,8,Evan McPherson,K,CIN
Jake Moody K - SF,DAL,3.01,0.0,0.44,0.56,0.44,0.25,8.58,8,Jake Moody,K,SF
Ka'imi Fairbairn K - HOU,IND,2.92,0.0,0.44,0.56,0.44,0.25,8.49,8,Ka'imi Fairbairn,K,HOU
Brandon Aubrey K - DAL,@SF,2.74,0.0,0.51,0.51,0.4,0.29,8.45,8,Brandon Aubrey,K,DAL
Jason Sanders K - MIA,ARI,2.88,0.0,0.44,0.5,0.44,0.25,8.27,8,Jason Sanders,K,MIA
Cameron Dicker K - LAC,NO,2.38,0.0,0.42,0.54,0.48,0.3,8.20,8,Cameron Dicker,K,LAC
Younghoe Koo K - ATL,@TB,2.25,0.0,0.46,0.52,0.4,0.35,8.14,8,Younghoe Koo,K,ATL
Tyler Bass K - BUF,@SEA,2.68,0.0,0.43,0.55,0.43,0.24,8.11,8,Tyler Bass,K,BUF
Greg Zuerlein K - NYJ,@NE,2.36,0.0,0.41,0.53,0.47,0.3,8.09,8,Greg Zuerlein,K,NYJ
Dustin Hopkins K - CLE Q,BAL,2.39,0.0,0.41,0.52,0.47,0.23,7.74,8,Dustin Hopkins,K,CLE
Jake Bates K - DET,TEN,2.83,0.0,0.36,0.48,0.48,0.18,7.69,8,Jake Bates,K,DET
Chris Boswell K - PIT,NYG,2.08,0.0,0.42,0.53,0.42,0.3,7.69,8,Chris Boswell,K,PIT
Daniel Carlson K - LV,KC,2.05,0.0,0.46,0.51,0.4,0.29,7.61,8,Daniel Carlson,K,LV
Jake Elliott K - PHI,@CIN,2.39,0.0,0.41,0.47,0.47,0.23,7.59,8,Jake Elliott,K,PHI
Chase McLaughlin K - TB,ATL,2.06,0.0,0.41,0.53,0.41,0.29,7.56,8,Chase McLaughlin,K,TB
Matt Gay K - IND,@HOU,2.03,0.0,0.41,0.52,0.41,0.29,7.50,8,Matt Gay,K,IND
Blake Grupe K - NO,@LAC,2.15,0.0,0.4,0.51,0.4,0.28,7.48,8,Blake Grupe,K,NO
Cairo Santos K - CHI,@WAS,2.2,0.0,0.42,0.47,0.47,0.24,7.48,8,Cairo Santos,K,CHI
Joshua Karty K - LAR,MIN,2.49,0.0,0.41,0.46,0.46,0.17,7.33,8,Joshua Karty,K,LAR
Matt Prater K - ARI,@MIA,1.98,0.0,0.4,0.51,0.4,0.28,7.31,8,Matt Prater,K,ARI
Jason Myers K - SEA,BUF,2.2,0.0,0.4,0.52,0.46,0.17,7.19,8,Jason Myers,K,SEA
Wil Lutz K - DEN,CAR,2.1,0.0,0.41,0.47,0.41,0.23,7.12,8,Wil Lutz,K,DEN
Nick Folk K - TEN,@DET,1.84,0.0,0.39,0.5,0.39,0.28,7.08,8,Nick Folk,K,TEN
Harrison Butker K - KC,TB,3.22,0.0,0.51,0.63,0.44,0.32,9.56,9,Harrison Butker,K,KC
Justin Tucker K - BAL,DEN,3.02,0.0,0.5,0.57,0.57,0.31,9.49,9,Justin Tucker,K,BAL
Evan McPherson K - CIN,LV,2.98,0.0,0.44,0.5,0.56,0.31,9.03,9,Evan McPherson,K,CIN
Brandon Aubrey K - DAL,@ATL,2.91,0.0,0.55,0.55,0.42,0.3,8.97,9,Brandon Aubrey,K,DAL
Younghoe Koo K - ATL,DAL,2.32,0.0,0.48,0.54,0.42,0.36,8.44,9,Younghoe Koo,K,ATL
Tyler Bass K - BUF,MIA,2.78,0.0,0.44,0.57,0.44,0.25,8.38,9,Tyler Bass,K,BUF
Greg Zuerlein K - NYJ,HOU,2.4,0.0,0.42,0.54,0.48,0.3,8.22,9,Greg Zuerlein,K,NYJ
Jake Elliott K - PHI,JAX,2.52,0.0,0.43,0.49,0.49,0.25,8.00,9,Jake Elliott,K,PHI
Jason Sanders K - MIA,@BUF,2.77,0.0,0.42,0.48,0.42,0.24,7.93,9,Jason Sanders,K,MIA
Dustin Hopkins K - CLE Q,LAC,2.43,0.0,0.42,0.53,0.47,0.24,7.89,9,Dustin Hopkins,K,CLE
Ka'imi Fairbairn K - HOU,@NYJ,2.68,0.0,0.4,0.51,0.4,0.23,7.76,9,Ka'imi Fairbairn,K,HOU
Cameron Dicker K - LAC,@CLE,2.25,0.0,0.39,0.51,0.45,0.28,7.70,9,Cameron Dicker,K,LAC
Matt Gay K - IND,@MIN,2.06,0.0,0.41,0.53,0.41,0.29,7.56,9,Matt Gay,K,IND
Matt Prater K - ARI,CHI,2.06,0.0,0.41,0.53,0.41,0.29,7.56,9,Matt Prater,K,ARI
Cairo Santos K - CHI,@ARI,2.21,0.0,0.42,0.48,0.48,0.24,7.55,9,Cairo Santos,K,CHI
Blake Grupe K - NO,@CAR,2.16,0.0,0.4,0.51,0.4,0.28,7.49,9,Blake Grupe,K,NO
Jason Myers K - SEA,LAR,2.23,0.0,0.41,0.53,0.47,0.18,7.36,9,Jason Myers,K,SEA
Nick Folk K - TEN,NE,1.91,0.0,0.4,0.52,0.4,0.29,7.32,9,Nick Folk,K,TEN
Graham Gano K - NYG,WAS,1.91,0.0,0.4,0.52,0.4,0.29,7.32,9,Graham Gano,K,NYG
Joshua Karty K - LAR,@SEA,2.47,0.0,0.4,0.46,0.46,0.17,7.28,9,Joshua Karty,K,LAR
Daniel Carlson K - LV,@CIN,1.98,0.0,0.44,0.49,0.38,0.27,7.26,9,Daniel Carlson,K,LV
Chase McLaughlin K - TB,@KC,1.96,0.0,0.39,0.5,0.39,0.28,7.20,9,Chase McLaughlin,K,TB
Jake Bates K - DET,@GB,2.63,0.0,0.31,0.43,0.43,0.18,7.04,9,Jake Bates,K,DET
Will Reichard K - MIN,IND,2.26,0.0,0.32,0.48,0.38,0.16,6.60,9,Will Reichard,K,MIN
Cam Little K - JAX,@PHI,2.21,0.0,0.33,0.5,0.33,0.17,6.54,9,Cam Little,K,JAX
Harrison Butker K - KC,DEN,3.25,0.0,0.51,0.64,0.45,0.32,9.65,10,Harrison Butker,K,KC
Justin Tucker K - BAL,CIN,2.91,0.0,0.49,0.55,0.55,0.3,9.18,10,Justin Tucker,K,BAL
Brandon Aubrey K - DAL,PHI,2.94,0.0,0.55,0.55,0.43,0.31,9.08,10,Brandon Aubrey,K,DAL
Jake Moody K - SF,@TB,2.95,0.0,0.43,0.55,0.43,0.25,8.43,10,Jake Moody,K,SF
Evan McPherson K - CIN,@BAL,2.76,0.0,0.4,0.46,0.52,0.29,8.35,10,Evan McPherson,K,CIN
Greg Zuerlein K - NYJ,@ARI,2.44,0.0,0.43,0.55,0.49,0.3,8.35,10,Greg Zuerlein,K,NYJ
Ka'imi Fairbairn K - HOU,DET,2.86,0.0,0.43,0.55,0.43,0.24,8.29,10,Ka'imi Fairbairn,K,HOU
Younghoe Koo K - ATL,@NO,2.3,0.0,0.47,0.53,0.41,0.35,8.28,10,Younghoe Koo,K,ATL
Cameron Dicker K - LAC,TEN,2.39,0.0,0.42,0.54,0.48,0.3,8.21,10,Cameron Dicker,K,LAC
Tyler Bass K - BUF,@IND,2.66,0.0,0.42,0.54,0.42,0.24,8.00,10,Tyler Bass,K,BUF
Jason Sanders K - MIA,@LAR,2.73,0.0,0.42,0.47,0.42,0.24,7.86,10,Jason Sanders,K,MIA
Jake Elliott K - PHI,@DAL,2.42,0.0,0.41,0.47,0.47,0.24,7.67,10,Jake Elliott,K,PHI
Blake Grupe K - NO,ATL,2.19,0.0,0.4,0.52,0.4,0.29,7.60,10,Blake Grupe,K,NO
Cairo Santos K - CHI,NE,2.23,0.0,0.42,0.48,0.48,0.24,7.57,10,Cairo Santos,K,CHI
Chris Boswell K - PIT,@WAS,2.05,0.0,0.41,0.53,0.41,0.29,7.55,10,Chris Boswell,K,PIT
Matt Gay K - IND,BUF,2.04,0.0,0.41,0.52,0.41,0.29,7.51,10,Matt Gay,K,IND
Matt Prater K - ARI,NYJ,2.02,0.0,0.4,0.52,0.4,0.29,7.43,10,Matt Prater,K,ARI
Chase McLaughlin K - TB,SF,2,0.0,0.4,0.52,0.4,0.29,7.41,10,Chase McLaughlin,K,TB
Graham Gano K - NYG,@CAR,1.91,0.0,0.4,0.52,0.4,0.29,7.32,10,Graham Gano,K,NYG
Joshua Karty K - LAR,MIA,2.48,0.0,0.4,0.46,0.46,0.17,7.29,10,Joshua Karty,K,LAR
Nick Folk K - TEN,@LAC,1.84,0.0,0.39,0.5,0.39,0.28,7.08,10,Nick Folk,K,TEN
Jake Bates K - DET,@HOU,2.63,0.0,0.31,0.43,0.43,0.18,7.04,10,Jake Bates,K,DET
Cam Little K - JAX,MIN,2.29,0.0,0.34,0.52,0.34,0.17,6.74,10,Cam Little,K,JAX
Wil Lutz K - DEN,@KC,1.96,0.0,0.38,0.44,0.38,0.22,6.66,10,Wil Lutz,K,DEN
Will Reichard K - MIN,@JAX,2.17,0.0,0.33,0.49,0.38,0.16,6.57,10,Will Reichard,K,MIN
Brandon Aubrey K - DAL,HOU,2.98,0.0,0.56,0.56,0.44,0.31,9.21,11,Brandon Aubrey,K,DAL
Harrison Butker K - KC,@BUF,3.05,0.0,0.48,0.6,0.42,0.3,9.05,11,Harrison Butker,K,KC
Justin Tucker K - BAL,@PIT,2.84,0.0,0.47,0.53,0.53,0.3,8.93,11,Justin Tucker,K,BAL
Jake Moody K - SF,SEA,3.07,0.0,0.45,0.58,0.45,0.26,8.81,11,Jake Moody,K,SF
Evan McPherson K - CIN,@LAC,2.86,0.0,0.42,0.48,0.54,0.3,8.68,11,Evan McPherson,K,CIN
Younghoe Koo K - ATL,@DEN,2.33,0.0,0.48,0.54,0.42,0.36,8.45,11,Younghoe Koo,K,ATL
Greg Zuerlein K - NYJ,IND,2.45,0.0,0.43,0.55,0.49,0.31,8.41,11,Greg Zuerlein,K,NYJ
Jason Sanders K - MIA,LV,2.88,0.0,0.44,0.5,0.44,0.25,8.27,11,Jason Sanders,K,MIA
Jake Elliott K - PHI,WAS,2.55,0.0,0.44,0.5,0.5,0.25,8.12,11,Jake Elliott,K,PHI
Tyler Bass K - BUF,KC,2.68,0.0,0.43,0.55,0.43,0.24,8.11,11,Tyler Bass,K,BUF
Ka'imi Fairbairn K - HOU,@DAL,2.78,0.0,0.41,0.53,0.41,0.24,8.03,11,Ka'imi Fairbairn,K,HOU
Cameron Dicker K - LAC,CIN,2.3,0.0,0.4,0.52,0.46,0.29,7.89,11,Cameron Dicker,K,LAC
Jake Bates K - DET,JAX,2.84,0.0,0.36,0.48,0.48,0.18,7.70,11,Jake Bates,K,DET
Dustin Hopkins K - CLE Q,@NO,2.38,0.0,0.41,0.52,0.46,0.23,7.70,11,Dustin Hopkins,K,CLE
Daniel Carlson K - LV,@MIA,2.03,0.0,0.45,0.51,0.4,0.28,7.51,11,Daniel Carlson,K,LV
Cairo Santos K - CHI,GB,2.18,0.0,0.41,0.47,0.47,0.24,7.43,11,Cairo Santos,K,CHI
Matt Gay K - IND,@NYJ,2,0.0,0.4,0.51,0.4,0.29,7.38,11,Matt Gay,K,IND
Blake Grupe K - NO,CLE,2.13,0.0,0.39,0.5,0.39,0.28,7.37,11,Blake Grupe,K,NO
Nick Folk K - TEN,MIN,1.89,0.0,0.4,0.52,0.4,0.29,7.30,11,Nick Folk,K,TEN
Joshua Karty K - LAR,@NE,2.48,0.0,0.4,0.46,0.46,0.17,7.29,11,Joshua Karty,K,LAR
Chris Boswell K - PIT,BAL,1.96,0.0,0.39,0.5,0.39,0.28,7.20,11,Chris Boswell,K,PIT
Wil Lutz K - DEN,ATL,2.04,0.0,0.4,0.45,0.4,0.23,6.94,11,Wil Lutz,K,DEN
Jason Myers K - SEA,@SF,2.08,0.0,0.38,0.49,0.44,0.16,6.81,11,Jason Myers,K,SEA
Will Reichard K - MIN,@TEN,2.23,0.0,0.33,0.5,0.39,0.17,6.74,11,Will Reichard,K,MIN
Cam Little K - JAX,@DET,2.26,0.0,0.34,0.51,0.34,0.17,6.68,11,Cam Little,K,JAX
Harrison Butker K - KC,@CAR,3.18,0.0,0.5,0.62,0.44,0.31,9.41,12,Harrison Butker,K,KC
Justin Tucker K - BAL,@LAC,2.92,0.0,0.49,0.55,0.55,0.3,9.19,12,Justin Tucker,K,BAL
Brandon Aubrey K - DAL,@WAS,2.91,0.0,0.55,0.55,0.42,0.3,8.97,12,Brandon Aubrey,K,DAL
Ka'imi Fairbairn K - HOU,TEN,2.93,0.0,0.44,0.56,0.44,0.25,8.50,12,Ka'imi Fairbairn,K,HOU
Jake Moody K - SF,@GB,2.92,0.0,0.43,0.55,0.43,0.24,8.35,12,Jake Moody,K,SF
Jason Sanders K - MIA,NE,2.86,0.0,0.44,0.5,0.44,0.25,8.25,12,Jason Sanders,K,MIA
Cameron Dicker K - LAC,BAL,2.33,0.0,0.41,0.52,0.47,0.29,7.98,12,Cameron Dicker,K,LAC
Dustin Hopkins K - CLE Q,PIT,2.43,0.0,0.42,0.53,0.47,0.24,7.89,12,Dustin Hopkins,K,CLE
Daniel Carlson K - LV,DEN,2.11,0.0,0.47,0.53,0.41,0.29,7.79,12,Daniel Carlson,K,LV
Jake Elliott K - PHI,@LAR,2.43,0.0,0.42,0.47,0.47,0.24,7.71,12,Jake Elliott,K,PHI
Jason Myers K - SEA,ARI,2.3,0.0,0.42,0.55,0.49,0.18,7.58,12,Jason Myers,K,SEA
Cairo Santos K - CHI,MIN,2.22,0.0,0.42,0.48,0.48,0.24,7.56,12,Cairo Santos,K,CHI
Matt Gay K - IND,DET,2.05,0.0,0.41,0.53,0.41,0.29,7.55,12,Matt Gay,K,IND
Chase McLaughlin K - TB,@NYG,2.05,0.0,0.41,0.53,0.41,0.29,7.55,12,Chase McLaughlin,K,TB
Jake Bates K - DET,@IND,2.75,0.0,0.35,0.47,0.47,0.18,7.52,12,Jake Bates,K,DET
Matt Prater K - ARI,@SEA,2.01,0.0,0.4,0.52,0.4,0.29,7.42,12,Matt Prater,K,ARI
Graham Gano K - NYG,TB,1.9,0.0,0.4,0.52,0.4,0.29,7.31,12,Graham Gano,K,NYG
Joshua Karty K - LAR,PHI,2.46,0.0,0.4,0.46,0.46,0.17,7.27,12,Joshua Karty,K,LAR
Chris Boswell K - PIT,@CLE,1.97,0.0,0.39,0.51,0.39,0.28,7.24,12,Chris Boswell,K,PIT
Nick Folk K - TEN,@HOU,1.86,0.0,0.39,0.51,0.39,0.28,7.13,12,Nick Folk,K,TEN
Wil Lutz K - DEN,@LV,2,0.0,0.39,0.44,0.39,0.22,6.76,12,Wil Lutz,K,DEN
