Player,Opp,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points,Week,Name,_position,_team
Stefon Diggs WR - HOU,CHI,0.0,0.0,0.0,0.31,0.0,4.91,59.88,0.43,0.0,0.0,0.0,0.06,13.39,2,Stefon Diggs,WR,HOU
Chris Olave WR - NO,@DAL,0.0,0.0,0.0,0.28,0.0,4.88,66.14,0.33,0.0,0.0,0.0,0.06,13.38,2,Chris Olave,WR,NO
Mike Evans WR - TB,@DET,0.0,0.0,0.0,0.29,0.0,4.23,63.36,0.46,0.0,0.0,0.0,0.06,13.24,2,Mike Evans,WR,TB
DK Metcalf WR - SEA,@NE,0.0,0.0,0.0,0.29,0.0,4.31,61.72,0.47,0.0,0.0,0.0,0.06,13.21,2,DK Metcalf,WR,SEA
Amari Cooper WR - CLE,@JAX,0.0,0.0,0.0,0.29,0.0,4.38,64.38,0.41,0.0,0.0,0.0,0.06,13.19,2,Amari Cooper,WR,CLE
Zay Flowers WR - BAL,LV,0.0,0.0,0.0,3.15,0.0,5,57.52,0.37,0.0,0.0,0.0,0.06,13.17,2,Zay Flowers,WR,BAL
DJ Moore WR - CHI,@HOU,0.0,0.0,0.0,1.39,0.0,4.41,61.76,0.41,0.0,0.0,0.0,0.06,13.07,2,DJ Moore,WR,CHI
Tank Dell WR - HOU,CHI,0.0,0.0,0.0,4.01,0.0,4.61,59.2,0.36,0.0,0.0,0.0,0.06,12.97,2,Tank Dell,WR,HOU
Christian Kirk WR - JAX Q,CLE,0.0,0.0,0.0,0.65,0.0,4.76,60.68,0.35,0.0,0.0,0.0,0.06,12.87,2,Christian Kirk,WR,JAX
Tee Higgins WR - CIN,@KC,0.0,0.0,0.0,0.29,0.0,4.31,61.42,0.41,0.0,0.0,0.0,0.06,12.82,2,Tee Higgins,WR,CIN
Michael Pittman WR - IND,@GB,0.0,0.0,0.0,0.28,0.0,5.24,58.43,0.28,0.0,0.0,0.0,0.06,12.67,2,Michael Pittman,WR,IND
Davante Adams WR - LV Q,@BAL,0.0,0.0,0.0,0.27,0.0,4.92,58.8,0.32,0.0,0.0,0.0,0.05,12.65,2,Davante Adams,WR,LV
Jayden Reed WR - GB,IND,0.0,0.0,0.0,4.7,0.06,4.4,54.85,0.31,0.0,0.0,0.0,0.06,12.46,2,Jayden Reed,WR,GB
George Pickens WR - PIT,@DEN,0.0,0.0,0.0,0.58,0.0,4.13,62.29,0.35,0.0,0.0,0.0,0.06,12.40,2,George Pickens,WR,PIT
Chris Godwin WR - TB,@DET,0.0,0.0,0.0,1.49,0.0,4.99,56.21,0.29,0.0,0.0,0.0,0.06,12.38,2,Chris Godwin,WR,TB
Keenan Allen WR - CHI,@HOU,0.0,0.0,0.0,0.64,0.0,4.86,54.02,0.35,0.0,0.0,0.0,0.06,12.31,2,Keenan Allen,WR,CHI
Malik Nabers WR - NYG,@WAS,0.0,0.0,0.0,0.84,0.0,4.26,57.82,0.34,0.0,0.0,0.0,0.06,12.05,2,Malik Nabers,WR,NYG
Terry McLaurin WR - WAS,NYG,0.0,0.0,0.0,0.35,0.0,4.43,58.9,0.3,0.0,0.0,0.0,0.06,12.04,2,Terry McLaurin,WR,WAS
Jordan Addison WR - MIN Q,SF,0.0,0.0,0.0,1.07,0.0,4.13,57.21,0.34,0.0,0.0,0.0,0.06,11.88,2,Jordan Addison,WR,MIN
Rome Odunze WR - CHI,@HOU,0.0,0.0,0.0,0.41,0.0,4.14,56.08,0.35,0.0,0.0,0.0,0.06,11.77,2,Rome Odunze,WR,CHI
Calvin Ridley WR - TEN,NYJ,0.0,0.0,0.0,1.89,0.0,4.07,55.05,0.33,0.0,0.0,0.0,0.06,11.62,2,Calvin Ridley,WR,TEN
Diontae Johnson WR - CAR,LAC,0.0,0.0,0.0,0.82,0.0,4.9,51.31,0.25,0.0,0.0,0.0,0.07,11.47,2,Diontae Johnson,WR,CAR
Marquise Brown WR - KC Q,CIN,0.0,0.0,0.0,0.92,0.0,3.9,54.43,0.33,0.0,0.0,0.0,0.07,11.28,2,Marquise Brown,WR,KC
Josh Palmer WR - LAC,@CAR,0.0,0.0,0.0,0.47,0.0,3.91,48.98,0.4,0.0,0.0,0.0,0.06,11.14,2,Josh Palmer,WR,LAC
Jaxon Smith-Njigba WR - SEA,@NE,0.0,0.0,0.0,0.65,0.0,4.38,47.32,0.33,0.0,0.0,0.0,0.07,11.02,2,Jaxon Smith-Njigba,WR,SEA
Xavier Worthy WR - KC,CIN,0.0,0.0,0.0,1.29,0.0,3.75,50.27,0.35,0.0,0.0,0.0,0.0,11.01,2,Xavier Worthy,WR,KC
Tyler Lockett WR - SEA Q,@NE,0.0,0.0,0.0,0.32,0.0,4.12,49.46,0.32,0.0,0.0,0.0,0.07,10.88,2,Tyler Lockett,WR,SEA
Christian Watson WR - GB,IND,0.0,0.0,0.0,1.68,0.0,3.48,48.15,0.37,0.0,0.0,0.0,0.06,10.56,2,Christian Watson,WR,GB
Romeo Doubs WR - GB,IND,0.0,0.0,0.0,0.31,0.0,3.73,46.54,0.31,0.0,0.0,0.0,0.06,10.16,2,Romeo Doubs,WR,GB
DeAndre Hopkins WR - TEN Q,NYJ,0.0,0.0,0.0,0.5,0.0,3.75,47.58,0.28,0.0,0.0,0.0,0.06,10.12,2,DeAndre Hopkins,WR,TEN
Brian Thomas Jr. WR - JAX,CLE,0.0,0.0,0.0,0.9,0.0,3.65,46.99,0.3,0.0,0.0,0.0,0.06,10.12,2,Brian Thomas Jr.,WR,JAX
