Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
185,Dawson Knox,BUF,27,TE,12,11,36,22,186,2,13,90,4.1,96,4.4,7.0,1,22.0,4,11.1,2,69.9,KnoxDa00
186,Marvin Mims*,DEN,21,WR,16,7,33,22,377,1,9,223,10.1,154,7.0,15.1,1,22.0,1,3.0,1,102.7,MimsMa00
187,Chris Moore,TEN,30,WR,17,5,35,22,424,0,16,367,16.7,57,2.6,18.3,1,22.0,2,5.7,1,93.0,MoorCh00
188,Josh Oliver,MIN,26,TE,17,14,28,22,213,2,12,51,2.3,162,7.4,2.6,1,22.0,0,0.0,0,122.2,OlivJo00
189,Drew Sample,CIN,27,TE,17,10,27,22,163,2,9,-10,-0.5,173,7.9,1.1,1,22.0,1,3.7,1,101.1,SampDr00
190,Jalen Tolbert,DAL,24,WR,17,6,36,22,268,2,13,234,10.6,34,1.5,13.2,1,22.0,1,2.8,1,91.0,TolbJa00
191,Adam Trautman,DEN,26,TE,17,12,35,22,204,3,10,106,4.8,98,4.5,6.5,2,11.0,0,0.0,1,95.4,TrauAd00
192,Cedrick Wilson Jr.,MIA,28,WR,15,3,38,22,296,3,14,239,10.9,57,2.6,11.3,0,,1,2.6,1,98.1,WilsCe01
193,Ty Chandler,MIN,25,RB,17,4,25,21,159,0,7,-42,-2.0,201,9.6,-1.7,3,7.0,0,0.0,0,93.2,ChanTy01
194,Emari Demercado,ARI,24,RB,14,2,30,21,119,0,4,10,0.5,109,5.2,0.9,0,,3,10.0,0,76.9,DemeEm00
195,Xavier Gipson,NYJ,22,WR,17,3,38,21,229,0,9,120,5.7,109,5.2,9.4,3,7.0,1,2.6,1,62.3,GipsXa00
196,Isaiah Hodgins,NYG,25,WR,17,9,33,21,230,3,12,155,7.4,75,3.6,8.0,1,21.0,0,0.0,0,114.5,HodgIs00
197,Skyy Moore,KAN,23,WR,14,8,38,21,244,1,13,135,6.4,109,5.2,8.9,0,,1,2.6,3,50.8,MoorSk01
198,Foster Moreau,NOR,26,TE,15,10,25,21,193,1,9,97,4.6,96,4.6,4.9,1,21.0,1,4.0,0,112.2,MoreFo00
199,Cedric Tillman,CLE,23,WR,14,3,44,21,224,0,12,136,6.5,88,4.2,10.6,2,10.5,1,2.3,5,23.5,TillCe01
200,Marquez Valdes-Scantling,KAN,29,WR,16,10,42,21,315,1,14,223,10.6,92,4.4,17.7,1,21.0,3,7.1,1,73.0,ValdMa00
