Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
56,Jake Ferguson,25,DAL,TE,14,14,86,59,494,18,185,3.1,309,5.2,4.1,6,9.8,3,3.5,0,83.2,,FergJa00
57,Cade Otton,25,TAM,TE,14,14,87,59,600,31,289,4.9,311,5.3,5.5,6,9.8,8,9.2,3,88.3,,OttoCa00
58,George Pickens,23,PIT,WR,14,12,103,59,900,37,685,11.6,215,3.6,13.3,4,14.8,6,5.8,2,87.8,,PickGe00
59,Xavier Worthy,21,KAN,WR,17,13,98,59,638,36,231,3.9,407,6.9,9.2,0,,7,7.1,2,91.3,,WortXa00
60,Jaylen Waddle,26,MIA,WR,15,15,83,58,744,38,508,8.8,236,4.1,10.0,0,,8,9.6,3,90.6,,WaddJa00
61,Jameson Williams,23,DET,WR,15,11,91,58,1001,41,504,8.7,497,8.6,11.2,2,29.0,3,3.3,3,112.9,AP CPoY-19,WillJa11
62,Breece Hall,23,NYJ,RB,16,16,76,57,483,15,-13,-0.2,496,8.7,0.2,6,9.5,9,11.8,0,104.2,,HallBr03
63,DeAndre Hopkins,32,2TM,WR,16,8,80,56,610,35,501,8.9,109,1.9,10.4,3,18.7,2,2.5,2,102.6,,HopkDe00
64,DeAndre Hopkins,32,TEN,WR,6,3,21,15,173,10,172,11.5,1,0.1,10.2,2,7.5,1,4.8,2,72.2,,HopkDe00
65,DeAndre Hopkins,32,KAN,WR,10,5,59,41,437,25,329,8.0,108,2.6,10.4,1,41.0,1,1.7,0,113.5,,HopkDe00
66,Mark Andrews,29,BAL,TE,17,13,69,55,673,39,485,8.8,188,3.4,10.5,1,55.0,4,5.8,1,140.9,AP CPoY-19,AndrMa00
67,Quentin Johnston,23,LAC,WR,15,11,91,55,711,32,405,7.4,306,5.6,10.8,8,6.9,7,7.7,1,109.7,,JohnQu02
68,Jayden Reed,24,GNB,WR,17,10,75,55,857,29,477,8.7,380,6.9,9.1,3,18.3,9,12.0,0,137.5,,ReedJa03
69,Chase Brown,24,CIN,RB,16,10,65,54,360,23,34,0.6,326,6.0,0.8,2,27.0,2,3.1,0,110.3,,BrowCh10
70,Rome Odunze,22,CHI,WR,17,12,101,54,734,37,481,8.9,253,4.7,13.9,4,13.5,6,5.9,1,82.7,,OdunRo00
71,Dalton Schultz,28,HOU,TE,17,13,85,53,532,26,318,6.0,214,4.0,8.1,0,,4,4.7,1,83.1,,SchuDa00
72,Jahmyr Gibbs,22,DET,RB,17,4,63,52,517,25,-76,-1.5,593,11.4,-0.2,4,13.0,2,3.2,1,115.4,PBAP OPoY-8,GibbJa01
73,Chigoziem Okonkwo,25,TEN,TE,17,11,70,52,479,19,230,4.4,249,4.8,5.9,5,10.4,3,4.3,4,78.2,,OkonCh00
74,Javonte Williams,24,DEN,RB,17,11,70,52,346,14,-49,-0.9,395,7.6,-0.3,4,13.0,7,10.0,0,84.6,,WillJa10
75,Tyler Conklin,29,NYJ,TE,16,15,72,51,449,24,187,3.7,262,5.1,4.9,0,,1,1.4,0,105.6,,ConkTy00
76,Tank Dell,25,HOU,WR,14,10,81,51,667,35,503,9.9,164,3.2,12.5,3,17.0,6,7.4,3,85.8,,DellNa00
77,Aaron Jones,30,MIN,RB,17,17,62,51,408,20,-3,-0.1,411,8.1,0.9,1,51.0,2,3.2,1,98.1,,JoneAa00
78,Deebo Samuel,28,SFO,WR,15,15,81,51,670,28,249,4.9,421,8.3,6.6,8,6.4,6,7.4,1,96.2,,SamuDe00
79,Rachaad White,25,TAM,RB,16,15,57,51,393,18,-123,-2.4,516,10.1,-1.9,3,17.0,0,0.0,0,130.5,,WhitRa01
80,Will Dissly,28,LAC,TE,15,8,64,50,481,24,178,3.6,303,6.1,4.6,4,12.5,4,6.3,0,108.4,,DissWi00
81,Chris Godwin,28,TAM,WR,7,7,62,50,576,33,226,4.5,350,7.0,5.7,4,12.5,2,3.2,1,125.5,,GodwCh00
82,Juwan Johnson,28,NOR,TE,17,5,66,50,548,27,336,6.7,212,4.2,8.2,3,16.7,3,4.5,1,108.6,,JohnJu02
83,Tucker Kraft,24,GNB,TE,17,17,70,50,707,30,251,5.0,456,9.1,5.3,9,5.6,5,7.1,1,131.1,,KrafTu00
84,Xavier Legette,23,CAR,WR,16,13,84,49,497,27,385,7.9,112,2.3,12.3,2,24.5,7,8.3,1,86.3,,LegeXa00
85,Tyler Lockett,32,SEA,WR,17,14,74,49,600,36,466,9.5,134,2.7,10.7,1,49.0,4,5.4,4,77.5,,LockTy00
86,Jalen Tolbert,25,DAL,WR,17,15,79,49,610,29,444,9.1,166,3.4,11.5,0,,3,3.8,2,104.9,,TolbJa00
87,Noah Fant,27,SEA,TE,14,9,64,48,500,25,223,4.6,277,5.8,5.4,2,24.0,1,1.6,3,82.8,,FantNo00
88,Adam Thielen,34,CAR,WR,10,10,62,48,615,28,463,9.6,152,3.2,11.0,1,48.0,2,3.2,4,107.9,,ThieAd00
89,James Conner,29,ARI,RB,16,16,55,47,414,17,-69,-1.5,483,10.3,-1.6,12,3.9,2,3.6,2,88.9,,ConnJa00
90,Stefon Diggs,31,HOU,WR,8,8,64,47,496,31,311,6.6,185,3.9,8.7,3,15.7,3,4.7,1,104.7,,DiggSt00
91,Evan Engram,30,JAX,TE,9,9,64,47,365,17,215,4.6,150,3.2,5.4,0,,4,6.3,0,92.3,,EngrEv00
92,Bucky Irving,22,TAM,RB,17,3,52,47,392,16,-136,-2.9,528,11.2,-2.7,6,7.8,1,1.9,0,98.1,AP ORoY-6,IrviBu00
93,Cole Kmet,25,CHI,TE,17,16,55,47,474,25,293,6.2,181,3.9,7.1,1,47.0,1,1.8,1,119.2,,KmetCo00
94,Kyle Pitts,24,ATL,TE,17,15,74,47,602,21,330,7.0,272,5.8,8.6,4,11.8,4,5.4,4,84.4,,PittKy00
95,Tre Tucker,23,LVR,WR,17,14,81,47,539,24,331,7.0,208,4.4,12.7,3,15.7,2,2.5,1,85.4,,TuckTr00
96,Michael Wilson,24,ARI,WR,16,13,71,47,548,27,418,8.9,130,2.8,11.4,1,47.0,3,4.2,3,90.6,,WilsMi02
97,Romeo Doubs,24,GNB,WR,13,12,72,46,601,33,466,10.1,135,2.9,12.3,4,11.5,7,9.7,2,97.0,,DoubRo00
98,Kenneth Walker III,24,SEA,RB,11,11,53,46,299,19,-64,-1.4,363,7.9,-1.2,5,9.2,2,3.8,1,88.6,,WalkKe00
99,Rashod Bateman,25,BAL,WR,17,14,72,45,756,35,572,12.7,184,4.1,13.6,0,,4,5.6,2,125.9,,BateRa00
100,Austin Hooper,30,NWE,TE,17,8,59,45,476,25,251,5.6,225,5.0,5.8,3,15.0,1,1.7,2,102.1,,HoopAu00
101,Olamide Zaccheaus,27,WAS,WR,17,6,64,45,506,26,222,4.9,284,6.3,6.3,7,6.4,5,7.8,0,109.2,,ZaccOl01
102,Dalton Kincaid,25,BUF,TE,13,9,75,44,448,23,174,4.0,274,6.2,7.5,4,11.0,6,8.0,0,84.7,,KincDa00
103,Amari Cooper,30,2TM,WR,14,10,85,44,547,25,436,9.9,111,2.5,12.3,1,44.0,12,14.1,2,77.9,,CoopAm00
104,Amari Cooper,30,CLE,WR,6,6,53,24,250,11,193,8.0,57,2.4,12.1,1,24.0,10,18.9,1,64.2,,CoopAm00
105,Amari Cooper,30,BUF,WR,8,4,32,20,297,14,243,12.2,54,2.7,12.6,0,,2,6.3,1,100.7,,CoopAm00
106,Kayshon Boutte,22,NWE,WR,15,13,68,43,589,25,439,10.2,150,3.5,14.5,1,43.0,4,5.9,2,93.3,,BoutKa00
107,Chuba Hubbard,25,CAR,RB,15,15,54,43,171,10,-74,-1.7,245,5.7,-1.2,7,6.1,2,3.7,0,86.0,,HubbCh01
108,Tutu Atwell,25,LAR,WR,17,5,62,42,562,29,436,10.4,126,3.0,11.2,0,,3,4.8,2,82.9,,AtweTu00
109,Zach Charbonnet,23,SEA,RB,17,6,52,42,340,6,-37,-0.9,377,9.0,-0.9,0,,0,0.0,1,92.3,,CharZa00
110,Dallas Goedert,29,PHI,TE,10,10,52,42,496,20,239,5.7,257,6.1,6.8,2,21.0,1,1.9,1,111.2,,GoedDa00
111,Justice Hill,27,BAL,RB,15,0,51,42,383,17,-55,-1.3,438,10.4,-0.5,5,8.4,2,3.9,1,109.4,,HillJu00
112,Isaiah Likely,24,BAL,TE,16,9,58,42,477,26,221,5.3,256,6.1,8.0,3,14.0,2,3.4,0,131.2,,LikeIs00
113,D'Andre Swift,25,CHI,RB,17,17,52,42,386,12,-19,-0.5,405,9.6,0.0,2,21.0,3,5.8,1,89.6,,SwifDA00
114,T.J. Hockenson,27,MIN,TE,10,9,62,41,455,30,310,7.6,145,3.5,8.4,1,41.0,2,3.2,2,74.3,AP CPoY-19,HockTJ00
115,Tony Pollard,27,TEN,RB,16,16,57,41,238,9,17,0.4,221,5.4,0.1,2,20.5,8,14.0,1,72.1,,PollTo00
116,Devaughn Vele,27,DEN,WR,13,7,55,41,475,26,348,8.5,127,3.1,8.4,0,,3,5.5,0,118.4,,VeleDe00
117,Ameer Abdullah,31,LVR,RB,16,3,47,40,261,16,9,0.2,252,6.3,0.7,2,20.0,0,0.0,0,111.1,,AbduAm00
118,Jordan Akins,32,CLE,TE,17,6,58,40,390,20,213,5.3,177,4.4,6.0,1,40.0,1,1.7,1,91.9,,AkinJo00
119,Noah Gray,25,KAN,TE,17,10,49,40,437,25,227,5.7,210,5.3,6.2,0,,2,4.1,2,120.8,,GrayNo00
120,Brenton Strange,24,JAX,TE,17,10,53,40,411,21,228,5.7,183,4.6,6.4,3,13.3,3,5.7,0,109.9,,StraBr00
121,Tyler Boyd,30,TEN,WR,16,8,57,39,390,20,201,5.2,189,4.8,7.4,2,19.5,3,5.3,3,65.7,,BoydTy00
122,Rico Dowdle,26,DAL,RB,16,15,49,39,249,13,-23,-0.6,272,7.0,-0.1,3,13.0,2,4.1,0,108.2,,DowdRi01
123,Travis Etienne,25,JAX,RB,15,15,52,39,254,13,-42,-1.1,296,7.6,0.2,4,9.8,2,3.8,1,76.9,,EtieTr00
124,Marvin Mims,22,DEN,WR,17,2,52,39,503,14,26,0.7,477,12.2,7.4,0,,3,5.8,2,127.3,PBAP-1,MimsMa00
125,Josh Palmer,25,LAC,WR,15,7,65,39,584,28,483,12.4,101,2.6,15.2,0,,4,6.2,1,88.2,,PalmJo00
126,Darius Slayton,27,NYG,WR,16,13,71,39,573,30,449,11.5,124,3.2,13.1,4,9.8,4,5.6,2,79.1,,SlayDa01
127,Dontayvion Wicks,23,GNB,WR,17,5,76,39,415,25,276,7.1,139,3.6,10.7,3,13.0,9,11.8,2,78.6,,WickDo00
128,Tyrone Tracy Jr.,25,NYG,RB,17,12,53,38,284,13,3,0.1,281,7.4,0.3,6,6.3,5,9.4,1,82.6,,TracTy00
129,Jaylen Warren,26,PIT,RB,15,0,47,38,310,16,-5,-0.1,315,8.3,-0.1,5,7.6,1,2.1,0,94.1,,WarrJa01
130,Greg Dortch,26,ARI,WR,17,4,50,37,342,16,48,1.3,294,7.9,4.1,5,7.4,3,6.0,0,112.2,,DortGr01
131,Jerome Ford,25,CLE,RB,14,6,43,37,225,10,-69,-1.9,294,7.9,-0.3,7,5.3,1,2.3,0,88.5,,FordJe00
132,Allen Lazard,29,NYJ,WR,12,10,60,37,530,29,375,10.1,155,4.2,11.0,0,,6,10.0,2,109.7,,LazaAl00
133,Jalen McMillan,23,TAM,WR,13,12,58,37,461,23,328,8.9,133,3.6,12.2,1,37.0,4,6.9,6,88.4,,McMiJa01
134,Alec Pierce,24,IND,WR,16,13,69,37,824,32,706,19.1,118,3.2,21.5,0,,3,4.3,4,106.2,,PierAl00
135,Calvin Austin III,25,PIT,WR,17,8,58,36,548,18,396,11.0,152,4.2,12.4,1,36.0,3,5.2,0,116.2,,AustCa00
136,Najee Harris,26,PIT,RB,17,17,48,36,283,13,-46,-1.3,329,9.1,-1.5,7,5.1,4,8.3,0,89.1,,HarrNa00
137,Andrei Iosivas,25,CIN,WR,17,8,61,36,479,26,412,11.4,67,1.9,11.2,0,,5,8.2,1,109.9,,IosiAn00
138,Josh Jacobs,26,GNB,RB,17,17,43,36,342,15,-61,-1.7,403,11.2,-1.0,13,2.8,0,0.0,1,97.9,PBAP OPoY-11,JacoJo01
139,Alexander Mattison,26,LVR,RB,14,7,48,36,294,13,-20,-0.6,314,8.7,-0.1,6,6.0,2,4.2,2,79.7,,MattAl01
140,Joe Mixon,28,HOU,RB,14,14,52,36,309,12,-51,-1.4,360,10.0,-0.5,6,6.0,4,7.7,0,90.9,PB,MixoJo00
141,David Montgomery,27,DET,RB,14,14,38,36,341,16,-24,-0.7,365,10.1,-0.5,11,3.3,0,0.0,0,104.1,,MontDa01
142,Noah Brown,28,WAS,WR,11,9,56,35,453,21,370,10.6,83,2.4,11.4,0,,4,7.1,1,86.4,,BrowNo00
143,Austin Ekeler,29,WAS,RB,12,6,41,35,366,14,-58,-1.7,424,12.1,-1.4,4,8.8,2,4.9,0,103.9,AP-2,EkelAu00
144,Kyren Williams,24,LAR,RB,16,16,40,34,182,6,-13,-0.4,195,5.7,-0.7,2,17.0,1,2.5,0,102.3,AP OPoY-11,WillKy02
145,Saquon Barkley,27,PHI,RB,16,16,43,33,278,12,33,1.0,245,7.4,1.9,6,5.5,2,4.7,0,108.5,PBAP-1AP MVP-3AP OPoY-1AP CPoY-14,BarkSa00
146,Tim Patrick,31,DET,WR,16,9,44,33,394,20,253,7.7,141,4.3,10.0,2,16.5,1,2.3,2,105.7,AP CPoY-6,PatrTi00
147,Ja'Tavion Sanders,21,CAR,TE,16,8,43,33,342,13,152,4.6,190,5.8,6.2,1,33.0,2,4.7,0,106.9,,SandJa01
148,Rhamondre Stevenson,26,NWE,RB,15,14,41,33,168,8,-69,-2.1,237,7.2,-1.0,3,11.0,1,2.4,0,91.9,,StevRh00
149,Diontae Johnson,28,3TM,WR,12,8,67,33,375,21,284,8.6,91,2.8,10.9,1,33.0,3,4.5,5,50.3,,JohnDi01
150,Diontae Johnson,28,CAR,WR,7,7,58,30,357,20,271,9.0,86,2.9,9.8,1,30.0,2,3.4,5,52.2,,JohnDi01
151,Diontae Johnson,28,BAL,WR,4,1,5,1,6,0,5,5.0,1,1.0,24.2,0,,1,20.0,0,39.6,,JohnDi01
152,Diontae Johnson,28,HOU,WR,1,0,4,2,12,1,8,4.0,4,2.0,9.5,0,,0,0.0,0,56.2,,JohnDi01
153,Jalen Coker,23,CAR,WR,11,4,46,32,478,23,307,9.6,171,5.3,11.3,2,16.0,0,0.0,1,108.8,,CokeJa01
154,James Cook,25,BUF,RB,16,16,38,32,258,14,-2,-0.1,260,8.1,0.9,0,,2,5.3,0,112.5,PB,CookJa01
155,J.K. Dobbins,26,LAC,RB,13,11,38,32,153,6,-51,-1.6,204,6.4,-1.2,1,32.0,2,5.3,0,83.4,AP CPoY-2,DobbJK00
156,David Moore,29,CAR,WR,17,5,57,32,351,18,291,9.1,60,1.9,10.8,1,32.0,4,7.0,0,92.1,,MoorDa03
157,Foster Moreau,27,NOR,TE,17,17,43,32,413,21,255,8.0,158,4.9,9.2,2,16.0,0,0.0,1,133.2,,MoreFo00
158,Chris Olave,24,NOR,WR,8,8,44,32,400,22,279,8.7,121,3.8,10.3,1,32.0,2,4.5,2,89.2,,OlavCh00
159,Sterling Shepard,31,TAM,WR,14,5,51,32,334,16,235,7.3,99,3.1,9.3,1,32.0,4,7.8,0,88.2,,ShepSt00
160,Parker Washington,22,JAX,WR,17,7,51,32,390,19,282,8.8,108,3.4,11.2,2,16.0,1,2.0,1,97.7,,WashPa01
161,Nick Westbrook-Ikhine,27,TEN,WR,17,9,60,32,497,25,373,11.7,124,3.9,11.5,2,16.0,4,6.7,3,99.8,,WestNi00
162,Mack Hollins,31,BUF,WR,17,13,50,31,378,25,288,9.3,90,2.9,11.1,0,,3,6.0,0,118.6,,HollMa00
163,Lil'Jordan Humphrey,26,DEN,WR,17,7,45,31,293,12,101,3.3,192,6.2,6.5,3,10.3,3,6.7,2,75.5,,HumpLi01
164,Ricky Pearsall,24,SFO,WR,11,4,46,31,400,19,286,9.2,114,3.7,11.4,1,31.0,0,0.0,3,89.0,,PearRi00
165,Demarcus Robinson,30,LAR,WR,17,17,64,31,505,27,434,14.0,71,2.3,14.2,1,31.0,1,1.6,4,85.7,,RobiDe01
166,Curtis Samuel,28,BUF,WR,14,2,46,31,253,9,93,3.0,160,5.2,4.6,1,31.0,1,2.2,1,79.3,,SamuCu00
167,KaVontae Turpin,28,DAL,WR,17,2,52,31,420,18,160,5.2,260,8.4,8.5,2,15.5,2,3.8,2,82.2,PBAP-1,TurpKa00
168,AJ Barner,22,SEA,TE,17,6,38,30,245,18,81,2.7,164,5.5,3.6,1,30.0,3,7.9,1,117.7,,BarnAJ00
169,Dyami Brown,25,WAS,WR,16,3,40,30,308,13,90,3.0,218,7.3,7.1,4,7.5,2,5.0,0,105.0,,BrowDy00
170,Colby Parkinson,25,LAR,TE,17,9,49,30,294,15,134,4.5,160,5.3,5.3,1,30.0,2,4.1,0,84.9,,ParkCo02
171,Tyjae Spears,23,TEN,RB,12,1,35,30,224,9,-31,-1.0,255,8.5,-1.2,4,7.5,1,2.9,0,102.9,,SpeaTy00
172,Keon Coleman,21,BUF,WR,13,12,57,29,556,22,341,11.8,215,7.4,15.2,4,7.3,4,7.0,2,93.9,,ColeKe02
173,Theo Johnson,23,NYG,TE,12,11,43,29,331,16,182,6.3,149,5.1,6.7,1,29.0,5,11.6,1,88.4,,JohnTh00
174,Cedric Tillman,24,CLE,WR,11,6,49,29,339,15,235,8.1,104,3.6,11.1,4,7.3,3,6.1,2,83.6,,TillCe01
175,Christian Watson,25,GNB,WR,15,15,53,29,620,21,471,16.2,149,5.1,17.8,0,,2,3.8,2,93.3,,WatsCh00
176,Kendrick Bourne,29,NWE,WR,12,9,38,28,305,13,211,7.5,94,3.4,9.3,0,,4,10.5,0,105.7,,BourKe00
177,Troy Franklin,21,DEN,WR,16,6,53,28,263,11,100,3.6,163,5.8,13.0,1,28.0,3,5.7,1,71.5,,FranTr00
178,Jalen Nailor,25,MIN,WR,17,7,42,28,414,22,308,11.0,106,3.8,11.5,0,,4,9.5,0,138.3,,NailJa00
179,Samaje Perine,29,KAN,RB,17,0,35,28,322,15,9,0.3,313,11.2,0.3,3,9.3,1,2.9,0,114.5,,PeriSa00
180,Josh Whyle,25,TEN,TE,17,4,37,28,248,14,105,3.8,143,5.1,5.6,1,28.0,1,2.7,0,102.1,,WhylJo01
181,Christian Kirk,28,JAX,WR,8,7,47,27,379,18,266,9.9,113,4.2,13.7,1,27.0,1,2.1,2,72.9,,KirkCh01
182,Luke Schoonmaker,26,DAL,TE,17,6,36,27,241,11,144,5.3,97,3.6,5.5,0,,0,0.0,0,101.7,,SchoLu00
183,Brandin Cooks,31,DAL,WR,10,9,54,26,259,19,204,7.8,55,2.1,11.7,0,,1,1.9,2,65.3,,CookBr00
